DGRP,Replica,Wasp_Strain,Flies,Capsules,Non_Capsules,Encapsulation_Ratio,Infection_Ratio,Obs,Set,Block,Infection,Assay,Researcher_ID
340,3,G486,3,0,37,0,0.925,,30,3,,,Rachael
374,1,G486,0,0,40,0,1,,30,3,,,Rachael
820,1,G486,0,8,32,0.2,1,,30,3,,,Rachael
820,2,G486,0,15,25,0.375,1,,30,3,,,Rachael
820,3,G486,0,13,27,0.325,1,,30,3,,,Rachael
73,1,G486,3,1,36,0.027027027,0.925,,31,4,2017_12_08,2017_12_18,Esref
73,3,G486,2,0,38,0,0.95,,31,4,2017_12_08,2017_12_18,Esref
85,1,G486,1,6,33,0.153846154,0.975,,31,4,2017_12_08,2017_12_18,Esref
85,2,G486,0,1,39,0.025,1,,31,4,2017_12_08,2017_12_18,Esref
85,3,G486,2,3,35,0.078947368,0.95,,31,4,2017_12_08,2017_12_18,Esref
307,1,G486,5,2,33,0.057142857,0.875,,31,4,2017_12_08,2017_12_18,Esref
307,2,G486,7,1,32,0.03030303,0.825,,31,4,2017_12_08,2017_12_18,Esref
307,3,G486,4,2,34,0.055555556,0.9,,31,4,2017_12_08,2017_12_18,Esref
315,1,G486,10,3,27,0.1,0.75,,31,4,2017_12_08,2017_12_18,Esref
315,2,G486,7,3,30,0.090909091,0.825,,31,4,2017_12_08,2017_12_18,Esref
315,3,G486,5,4,31,0.114285714,0.875,,31,4,2017_12_08,2017_12_18,Esref
318,1,G486,3,1,36,0.027027027,0.925,,31,4,2017_12_08,2017_12_18,Esref
318,3,G486,2,0,38,0,0.95,,31,4,2017_12_08,2017_12_18,Esref
332,2,G486,1,0,39,0,0.975,,31,4,2017_12_08,2017_12_18,Esref
332,3,G486,2,0,38,0,0.95,,31,4,2017_12_08,2017_12_18,Esref
630,1,G486,3,2,35,0.054054054,0.925,,31,4,2017_12_08,2017_12_18,Esref
630,2,G486,2,0,38,0,0.95,,31,4,2017_12_08,2017_12_18,Esref
630,3,G486,3,1,36,0.027027027,0.925,,31,4,2017_12_08,2017_12_18,Esref
646,1,G486,9,10,21,0.322580645,0.775,,31,4,2017_12_08,2017_12_18,Esref
646,2,G486,8,16,16,0.5,0.8,,31,4,2017_12_08,2017_12_18,Esref
646,3,G486,2,6,32,0.157894737,0.95,,31,4,2017_12_08,2017_12_18,Esref
707,1,G486,1,2,37,0.051282051,0.975,,31,4,2017_12_08,2017_12_18,Esref
707,2,G486,1,4,35,0.102564103,0.975,,31,4,2017_12_08,2017_12_18,Esref
707,3,G486,18,2,20,0.090909091,0.55,,31,4,2017_12_08,2017_12_18,Esref
732,1,G486,5,1,34,0.028571429,0.875,,31,4,2017_12_08,2017_12_18,Esref
732,2,G486,9,4,27,0.129032258,0.775,,31,4,2017_12_08,2017_12_18,Esref
732,3,G486,6,1,33,0.029411765,0.85,,31,4,2017_12_08,2017_12_18,Esref
805,1,G486,0,0,40,0,1,,31,4,2017_12_08,2017_12_18,Esref
805,2,G486,4,0,36,0,0.9,,31,4,2017_12_08,2017_12_18,Esref
805,3,G486,2,11,27,0.289473684,0.95,,31,4,2017_12_08,2017_12_18,Esref
810,1,G486,14,1,25,0.038461538,0.65,,31,4,2017_12_08,2017_12_18,Esref
810,2,G486,4,16,20,0.444444444,0.9,,31,4,2017_12_08,2017_12_18,Esref
810,3,G486,4,8,28,0.222222222,0.9,,31,4,2017_12_08,2017_12_18,Esref
812,1,G486,4,6,30,0.166666667,0.9,,31,4,2017_12_08,2017_12_18,Esref
812,2,G486,3,9,28,0.243243243,0.925,,31,4,2017_12_08,2017_12_18,Esref
812,3,G486,7,13,20,0.393939394,0.825,,31,4,2017_12_08,2017_12_18,Esref
832,1,G486,5,28,7,0.8,0.875,,31,4,2017_12_08,2017_12_18,Esref
832,2,G486,11,25,4,0.862068966,0.725,,31,4,2017_12_08,2017_12_18,Esref
832,3,G486,7,22,11,0.666666667,0.825,,31,4,2017_12_08,2017_12_18,Esref
138,1,G486,0,0,40,0,1,,32,4,2017_12_11,2017_12_19,Esref
138,2,G486,0,4,36,0.1,1,,32,4,2017_12_11,2017_12_19,Esref
138,3,G486,1,0,39,0,0.975,,32,4,2017_12_11,2017_12_19,Esref
227,1,G486,4,2,34,0.055555556,0.9,,32,4,2017_12_11,2017_12_19,Esref
227,2,G486,5,3,32,0.085714286,0.875,,32,4,2017_12_11,2017_12_19,Esref
227,3,G486,13,2,25,0.074074074,0.675,,32,4,2017_12_11,2017_12_19,Esref
324,1,G486,5,5,30,0.142857143,0.875,,32,4,2017_12_11,2017_12_19,Esref
324,2,G486,4,7,29,0.194444444,0.9,,32,4,2017_12_11,2017_12_19,Esref
324,3,G486,4,6,30,0.166666667,0.9,,32,4,2017_12_11,2017_12_19,Esref
340,1,G486,3,0,37,0,0.925,,32,4,2017_12_11,2017_12_19,Esref
340,2,G486,3,1,36,0.027027027,0.925,,32,4,2017_12_11,2017_12_19,Esref
340,3,G486,1,0,39,0,0.975,,32,4,2017_12_11,2017_12_19,Esref
348,1,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
348,2,G486,3,0,37,0,0.925,,32,4,2017_12_11,2017_12_19,Esref
348,3,G486,2,0,38,0,0.95,,32,4,2017_12_11,2017_12_19,Esref
354,1,G486,1,0,39,0,0.975,,32,4,2017_12_11,2017_12_19,Esref
354,2,G486,2,0,38,0,0.95,,32,4,2017_12_11,2017_12_19,Esref
354,3,G486,1,1,38,0.025641026,0.975,,32,4,2017_12_11,2017_12_19,Esref
357,1,G486,4,1,35,0.027777778,0.9,,32,4,2017_12_11,2017_12_19,Esref
357,2,G486,3,0,37,0,0.925,,32,4,2017_12_11,2017_12_19,Esref
357,3,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
374,1,G486,3,3,34,0.081081081,0.925,,32,4,2017_12_11,2017_12_19,Esref
374,2,G486,2,4,34,0.105263158,0.95,,32,4,2017_12_11,2017_12_19,Esref
374,3,G486,1,3,36,0.076923077,0.975,,32,4,2017_12_11,2017_12_19,Esref
382,1,G486,2,5,33,0.131578947,0.95,,32,4,2017_12_11,2017_12_19,Esref
382,2,G486,1,3,36,0.076923077,0.975,,32,4,2017_12_11,2017_12_19,Esref
382,3,G486,0,2,38,0.05,1,,32,4,2017_12_11,2017_12_19,Esref
397,1,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
397,2,G486,2,0,38,0,0.95,,32,4,2017_12_11,2017_12_19,Esref
397,3,G486,4,1,35,0.027777778,0.9,,32,4,2017_12_11,2017_12_19,Esref
486,1,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
486,2,G486,3,0,37,0,0.925,,32,4,2017_12_11,2017_12_19,Esref
486,3,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
714,1,G486,1,0,39,0,0.975,,32,4,2017_12_11,2017_12_19,Esref
714,2,G486,2,0,38,0,0.95,,32,4,2017_12_11,2017_12_19,Esref
714,3,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
765,1,G486,0,0,40,0,1,,32,4,2017_12_11,2017_12_19,Esref
765,2,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
765,3,G486,3,2,35,0.054054054,0.925,,32,4,2017_12_11,2017_12_19,Esref
786,1,G486,3,0,37,0,0.925,,32,4,2017_12_11,2017_12_19,Esref
786,2,G486,2,1,37,0.026315789,0.95,,32,4,2017_12_11,2017_12_19,Esref
786,3,G486,3,2,35,0.054054054,0.925,,32,4,2017_12_11,2017_12_19,Esref
42,1,G486,2,0,38,0,0.95,,33,4,2017_12_12,2017_12_22,Esref
42,2,G486,3,0,37,0,0.925,,33,4,2017_12_12,2017_12_22,Esref
42,3,G486,1,1,38,0.025641026,0.975,,33,4,2017_12_12,2017_12_22,Esref
83,1,G486,1,0,39,0,0.975,,33,4,2017_12_12,2017_12_22,Esref
83,2,G486,2,1,37,0.026315789,0.95,,33,4,2017_12_12,2017_12_22,Esref
83,3,G486,5,1,34,0.028571429,0.875,,33,4,2017_12_12,2017_12_22,Esref
88,1,G486,1,6,33,0.153846154,0.975,,33,4,2017_12_12,2017_12_22,Esref
88,2,G486,2,4,34,0.105263158,0.95,,33,4,2017_12_12,2017_12_22,Esref
88,3,G486,1,6,33,0.153846154,0.975,,33,4,2017_12_12,2017_12_22,Esref
158,2,G486,2,14,24,0.368421053,0.95,,33,4,2017_12_12,2017_12_22,Esref
158,3,G486,2,13,25,0.342105263,0.95,,33,4,2017_12_12,2017_12_22,Esref
287,1,G486,3,19,18,0.513513514,0.925,,33,4,2017_12_12,2017_12_22,Esref
287,3,G486,6,19,15,0.558823529,0.85,,33,4,2017_12_12,2017_12_22,Esref
350,1,G486,3,1,36,0.027027027,0.925,,33,4,2017_12_12,2017_12_22,Esref
350,2,G486,7,14,19,0.424242424,0.825,,33,4,2017_12_12,2017_12_22,Esref
350,3,G486,3,1,36,0.027027027,0.925,,33,4,2017_12_12,2017_12_22,Esref
356,1,G486,3,3,34,0.081081081,0.925,,33,4,2017_12_12,2017_12_22,Esref
356,2,G486,5,8,27,0.228571429,0.875,,33,4,2017_12_12,2017_12_22,Esref
356,3,G486,6,1,33,0.029411765,0.85,,33,4,2017_12_12,2017_12_22,Esref
383,1,G486,2,0,38,0,0.95,,33,4,2017_12_12,2017_12_22,Esref
383,2,G486,3,1,36,0.027027027,0.925,,33,4,2017_12_12,2017_12_22,Esref
383,3,G486,3,1,36,0.027027027,0.925,,33,4,2017_12_12,2017_12_22,Esref
461,1,G486,5,1,34,0.028571429,0.875,,33,4,2017_12_12,2017_12_22,Esref
461,2,G486,4,1,35,0.027777778,0.9,,33,4,2017_12_12,2017_12_22,Esref
461,3,G486,6,2,32,0.058823529,0.85,,33,4,2017_12_12,2017_12_22,Esref
492,1,G486,1,0,39,0,0.975,,33,4,2017_12_12,2017_12_22,Esref
492,2,G486,1,1,38,0.025641026,0.975,,33,4,2017_12_12,2017_12_22,Esref
492,3,G486,10,4,26,0.133333333,0.75,,33,4,2017_12_12,2017_12_22,Esref
502,1,G486,7,5,28,0.151515152,0.825,,33,4,2017_12_12,2017_12_22,Esref
502,2,G486,4,1,35,0.027777778,0.9,,33,4,2017_12_12,2017_12_22,Esref
502,3,G486,3,2,35,0.054054054,0.925,,33,4,2017_12_12,2017_12_22,Esref
531,1,G486,2,2,36,0.052631579,0.95,,33,4,2017_12_12,2017_12_22,Esref
531,2,G486,3,2,35,0.054054054,0.925,,33,4,2017_12_12,2017_12_22,Esref
761,1,G486,6,7,27,0.205882353,0.85,,33,4,2017_12_12,2017_12_22,Esref
761,2,G486,1,2,37,0.051282051,0.975,,33,4,2017_12_12,2017_12_22,Esref
761,3,G486,3,4,33,0.108108108,0.925,,33,4,2017_12_12,2017_12_22,Esref
820,1,G486,2,3,35,0.078947368,0.95,,33,4,2017_12_12,2017_12_22,Esref
820,2,G486,2,5,33,0.131578947,0.95,,33,4,2017_12_12,2017_12_22,Esref
136,1,G486,3,0,37,0,0.925,,34,4,2017_12_13,2017_12_22,Esref
136,2,G486,4,2,34,0.055555556,0.9,,34,4,2017_12_13,2017_12_22,Esref
136,3,G486,5,1,34,0.028571429,0.875,,34,4,2017_12_13,2017_12_22,Esref
142,1,G486,9,1,30,0.032258065,0.775,,34,4,2017_12_13,2017_12_22,Esref
142,2,G486,8,2,30,0.0625,0.8,,34,4,2017_12_13,2017_12_22,Esref
142,3,G486,7,0,33,0,0.825,,34,4,2017_12_13,2017_12_22,Esref
161,1,G486,5,1,34,0.028571429,0.875,,34,4,2017_12_13,2017_12_22,Esref
161,2,G486,3,2,35,0.054054054,0.925,,34,4,2017_12_13,2017_12_22,Esref
161,3,G486,4,2,34,0.055555556,0.9,,34,4,2017_12_13,2017_12_22,Esref
256,1,G486,7,3,30,0.090909091,0.825,,34,4,2017_12_13,2017_12_22,Esref
256,2,G486,8,4,28,0.125,0.8,,34,4,2017_12_13,2017_12_22,Esref
256,3,G486,9,2,29,0.064516129,0.775,,34,4,2017_12_13,2017_12_22,Esref
310,1,G486,5,2,33,0.057142857,0.875,,34,4,2017_12_13,2017_12_22,Esref
310,2,G486,6,1,33,0.029411765,0.85,,34,4,2017_12_13,2017_12_22,Esref
310,3,G486,7,3,30,0.090909091,0.825,,34,4,2017_12_13,2017_12_22,Esref
313,1,G486,4,1,35,0.027777778,0.9,,34,4,2017_12_13,2017_12_22,Esref
313,2,G486,3,1,36,0.027027027,0.925,,34,4,2017_12_13,2017_12_22,Esref
313,3,G486,4,0,36,0,0.9,,34,4,2017_12_13,2017_12_22,Esref
358,1,G486,6,6,28,0.176470588,0.85,,34,4,2017_12_13,2017_12_22,Esref
358,2,G486,6,2,32,0.058823529,0.85,,34,4,2017_12_13,2017_12_22,Esref
358,3,G486,5,0,35,0,0.875,,34,4,2017_12_13,2017_12_22,Esref
365,1,G486,5,10,25,0.285714286,0.875,,34,4,2017_12_13,2017_12_22,Esref
365,2,G486,15,5,20,0.2,0.625,,34,4,2017_12_13,2017_12_22,Esref
365,3,G486,12,10,18,0.357142857,0.7,,34,4,2017_12_13,2017_12_22,Esref
596,1,G486,2,5,33,0.131578947,0.95,,34,4,2017_12_13,2017_12_22,Esref
596,2,G486,3,8,29,0.216216216,0.925,,34,4,2017_12_13,2017_12_22,Esref
596,3,G486,3,3,34,0.081081081,0.925,,34,4,2017_12_13,2017_12_22,Esref
634,1,G486,4,0,36,0,0.9,,34,4,2017_12_13,2017_12_22,Esref
634,2,G486,5,1,34,0.028571429,0.875,,34,4,2017_12_13,2017_12_22,Esref
634,3,G486,3,1,36,0.027027027,0.925,,34,4,2017_12_13,2017_12_22,Esref
639,1,G486,5,1,34,0.028571429,0.875,,34,4,2017_12_13,2017_12_22,Esref
639,2,G486,6,2,32,0.058823529,0.85,,34,4,2017_12_13,2017_12_22,Esref
639,3,G486,7,1,32,0.03030303,0.825,,34,4,2017_12_13,2017_12_22,Esref
712,1,G486,6,0,34,0,0.85,,34,4,2017_12_13,2017_12_22,Esref
712,2,G486,7,1,32,0.03030303,0.825,,34,4,2017_12_13,2017_12_22,Esref
712,3,G486,6,1,33,0.029411765,0.85,,34,4,2017_12_13,2017_12_22,Esref
801,1,G486,5,0,35,0,0.875,,34,4,2017_12_13,2017_12_22,Esref
801,2,G486,7,1,32,0.03030303,0.825,,34,4,2017_12_13,2017_12_22,Esref
801,3,G486,8,2,30,0.0625,0.8,,34,4,2017_12_13,2017_12_22,Esref
884,1,G486,6,1,33,0.029411765,0.85,,34,4,2017_12_13,2017_12_22,Esref
884,2,G486,4,0,36,0,0.9,,34,4,2017_12_13,2017_12_22,Esref
884,3,G486,6,3,31,0.088235294,0.85,,34,4,2017_12_13,2017_12_22,Esref
